month,stock_code,top_risk_score,rank_in_topn
2018-01,300316,1.3269513181383248,4
2018-01,300347,0.9618433818297587,5
2018-01,300413,0.9242959959516562,6
2018-01,600029,0.8691738347172735,7
2018-01,600809,0.8156213395368106,8
2018-01,300015,0.7921185540334198,9
2018-01,002714,0.7352572417285509,10
2018-02,601600,1.6611527637715724,1
2018-02,600030,1.2949012669890905,2
2018-02,601009,1.2574075966618763,3
2018-02,601888,1.1479804265566254,4
2018-02,300015,0.9759999963782009,5
2018-02,300347,0.8781709527932703,6
2018-02,600346,0.8404796738487756,7
2018-02,000001,0.8180039103680712,8
2018-02,601012,0.8005331462386167,9
2018-02,600809,0.7440797085049727,10
2018-03,300347,1.6143790970396776,1
2018-03,601360,1.596315428504791,2
2018-03,300251,1.4207576766580396,3
2018-03,603799,1.1765392224262665,4
2018-03,002027,1.1605693756108406,5
2018-03,300308,1.1490970367475377,6
2018-03,601111,1.1050942914064878,7
2018-03,300413,0.9656374599024393,8
2018-03,002415,0.7831591096986513,9
2018-03,600029,0.7743395262005807,10
2018-04,300316,1.856937898447344,1
2018-04,603986,1.6077842400814522,2
2018-04,000938,1.3210113143313185,3
2018-04,300015,1.2329094706313724,4
2018-04,603501,1.1499179581977765,5
2018-04,300122,0.9835753803813487,6
2018-04,600547,0.9506675218036765,7
2018-04,600276,0.913088038248258,8
2018-04,600011,0.77097339876908,9
2018-04,601607,0.741369801847325,10
2018-05,002422,1.8106823906448528,1
2018-05,300015,1.4461226603438244,2
2018-05,600845,1.2119181546149704,3
2018-05,300316,1.1091909305788425,4
2018-05,000975,0.6660402827728554,5
2018-05,600426,0.5664436195079637,6
2018-05,601111,0.5403367351421131,7
2018-05,603986,0.49451640267126507,8
2018-05,002311,0.4759268080901174,9
2018-05,601939,0.40041898917419577,10
2018-06,603369,1.8053242461377335,1
2018-06,600600,1.628324774842834,2
2018-06,603288,1.6131864315528701,3
2018-06,300347,1.4968416497019903,4
2018-06,601607,1.2971975703815806,5
2018-06,600436,1.2859550225869185,6
2018-06,300015,1.2184116086314027,7
2018-06,000999,1.0854309845255832,8
2018-06,002027,1.0587540263875008,9
2018-06,600809,0.9332977172498937,10
2018-07,600845,1.8490036013970699,1
2018-07,300015,1.7659045098887798,2
2018-07,300347,1.5815490503493514,3
2018-07,600276,1.2799766592276525,4
2018-07,000596,1.2278818400006486,5
2018-07,603369,1.1748040890905416,6
2018-07,600690,1.0703040511363882,7
2018-07,603019,1.009377006973883,8
2018-07,600809,0.9285254299399064,9
2018-07,002475,0.5422121507972549,10
2018-08,600027,1.5911936705867735,1
2018-08,300015,1.4801141975902317,2
2018-08,601888,1.163677406736447,3
2018-08,600845,1.0077708732840962,4
2018-08,600426,0.7971176040961678,5
2018-08,002475,0.7607499326199131,6
2018-08,600276,0.7360706213931527,7
2018-08,603288,0.5901764163375409,8
2018-08,300413,0.5010636517284174,9
2018-08,601100,0.4785015979755253,10
2018-09,000977,1.2855044590980889,1
2018-09,600028,1.0694809333446815,2
2018-09,300015,0.8268730321861338,3
2018-09,600660,0.807364246604494,4
2018-09,600183,0.786177446728012,5
2018-09,002371,0.7701836924616363,6
2018-09,601100,0.7283732356033326,7
2018-09,601808,0.6959683289286847,8
2018-09,002475,0.6755004646188779,9
2018-09,601877,0.6466975205401237,10
2018-10,000596,1.0848653371736487,1
2018-10,600406,1.0516880380955136,2
2018-10,603288,0.8517040184308251,3
2018-10,601288,0.8028605520306882,4
2018-10,601336,0.5180236565052223,5
2018-10,601398,0.46307442128033394,6
2018-10,300014,0.4306793993518435,7
2018-10,000301,0.3905830233687423,8
2018-10,600519,0.38986685121710374,9
2018-10,600585,0.3254728049941856,10
2018-11,600161,1.2702496505584504,1
2018-11,600061,1.076927000364076,2
2018-11,600406,0.9876193969502103,3
2018-11,601288,0.4815551875858325,4
2018-11,000002,0.46480104397537764,5
2018-11,600028,0.44848375909636545,6
2018-11,601225,0.44390543215297146,7
2018-11,002179,0.42483945705106096,8
2018-11,300628,0.4041442850895447,9
2018-11,601021,0.35899306463325054,10
2018-12,600027,0.8062688031158813,1
2018-12,600482,0.4668112758693226,2
2018-12,300628,0.4515847798514868,3
2018-12,000630,0.4454938789347701,4
2018-12,002916,0.38444403764210644,5
2018-12,000975,0.25285345320436503,6
2018-12,603986,0.2114652843892168,7
2018-12,600029,0.19454696774889732,8
2018-12,000708,0.1936387659109553,9
2018-12,600875,0.177647360638585,10
2019-01,000975,1.9109973567746394,1
2019-01,600406,1.460497027312413,2
2019-01,300628,1.2359824219759805,3
2019-01,600377,1.0900480381960862,4
2019-01,600183,0.9195889026528534,5
2019-01,600161,0.8718692605345668,6
